Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",0.91,0.14,1.05,5.78,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.24,0.1,1.34,4.68,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.66,0.15,1.82,4.73,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.23,0.15,1.38,4.37
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.3,0.14,1.44,5.1,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",0.77,0.1,0.87,4.58,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.83,0.18,2.01,5.02,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",0.72,0.15,0.87,4.47
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.6,0.16,1.76,5.44,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.06,0.11,1.16,5.13,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",0.56,0.16,0.72,4.65,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.3,0.15,1.45,4.79
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.02,0.13,1.15,4.74,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",0.71,0.11,0.82,5.01,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.12,0.15,1.28,4.63,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.14,0.15,1.29,4.58
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",2.02,0.13,2.15,4.81,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.18,0.11,1.29,4.75,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.35,0.17,1.52,4.93,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.13,0.15,1.28,4.46
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.34,0.13,1.47,4.9,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.08,0.1,1.18,4.84,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",0.83,0.15,0.98,4.62,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.54,0.16,1.7,4.62
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",1.5,0.15,1.64,5.04,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",1.13,0.1,1.23,4.84,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",0.79,0.18,0.96,4.95,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.02,0.15,1.17,4.37
"INSERT INTO all_energy_statistics(KEY, VALUE) VALUES(""2502"",{""country_or_area"": ""India"",""commodity_transaction"": ""Additives and Oxygenates - Exports"",""year"": 2000,""unit"": ""Metric tons,  thousand"",""quantity"": ""10"",""quantity_footnotes"": ""1"",""category"": ""additives_and_oxygenates""});UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;",0.98,0.14,1.12,4.98,"db.all_energy_statistics.insertOne({ ""country_or_area"": ""India"", ""commodity_transaction"": ""Additives and Oxygenates - Exports"" , ""year"": 2000, ""unit"": ""Metric tons,  thousand"", ""quantity"": ""10"" , ""quantity_footnotes"": ""1"", ""category"": ""additives_and_oxygenates""})",0.99,0.11,1.1,4.86,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",0.72,0.17,0.89,5.04,"INSERT INTO all_energy_statistics (country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category) VALUES ('India','Additives and Oxygenates - Exports',2000,'Metric tons,  thousand','10','1','additives_and_oxygenates');",1.37,0.14,1.51,4.37
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.18,0.22,1.4,6.82,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.32,0.11,1.43,4.91,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.46,0.36,2.82,8.72,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.62,0.25,1.87,6.7
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.08,0.18,1.26,5.7,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.73,0.11,1.84,4.76,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.99,0.35,3.35,8.51,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.02,0.19,2.21,5.29
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.75,0.17,2.92,5.28,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",0.88,0.11,0.99,4.82,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,3.05,0.27,3.32,6.88,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.08,0.18,1.26,5.03
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.13,0.18,1.31,5.51,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.1,0.11,1.21,4.81,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.42,0.27,2.7,7.01,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.59,0.16,1.75,4.64
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.74,0.16,1.9,5.26,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.2,0.1,1.3,4.72,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.72,0.28,3,7.04,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.49,0.17,1.66,4.82
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.12,0.17,2.29,5.06,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",0.55,0.11,0.66,4.75,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.08,0.28,2.36,7.27,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.8,0.18,1.98,4.98
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.64,0.17,1.81,5.52,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.05,0.11,1.16,5.32,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.02,0.28,2.3,7.06,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.58,0.22,1.81,5.9
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,0.92,0.16,1.09,5.07,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.28,0.12,1.4,5.43,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.66,0.27,1.93,6.81,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.44,0.2,1.64,5.78
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.73,0.18,1.92,5.54,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",0.75,0.11,0.86,5.07,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.67,0.28,2.95,7.41,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,0.53,0.18,0.71,5.08
UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,0.75,0.16,0.92,4.84,"db.all_energy_statistics.updateOne({""year"": 1997}, {""$set"": {""country_or_area"": ""Australia""} })",1.3,0.11,1.41,4.96,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,2.29,0.29,2.58,7.21,UPDATE all_energy_statistics SET country_or_area = 'Australia' WHERE year = 1997;,1.51,0.19,1.69,5.26
DELETE FROM all_energy_statistics WHERE year = 1997;,1.19,0.13,1.32,4.69,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.2,0.12,1.33,5.7,DELETE FROM all_energy_statistics WHERE year = 1997;,2.54,0.34,2.88,8.58,DELETE FROM all_energy_statistics WHERE year = 1997;,1.07,0.17,1.25,4.89
DELETE FROM all_energy_statistics WHERE year = 1997;,0.88,0.13,1.01,4.77,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.87,0.14,2.01,6.24,DELETE FROM all_energy_statistics WHERE year = 1997;,3.35,0.41,3.76,9.64,DELETE FROM all_energy_statistics WHERE year = 1997;,1.53,0.17,1.7,4.8
DELETE FROM all_energy_statistics WHERE year = 1997;,1.03,0.14,1.17,5.08,"db.all_energy_statistics.deleteOne({""year"": 1997})",0.84,0.12,0.96,5.78,DELETE FROM all_energy_statistics WHERE year = 1997;,2.22,0.28,2.5,7.2,DELETE FROM all_energy_statistics WHERE year = 1997;,1.18,0.17,1.35,4.97
DELETE FROM all_energy_statistics WHERE year = 1997;,0.67,0.14,0.81,4.89,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.51,0.11,1.62,6.2,DELETE FROM all_energy_statistics WHERE year = 1997;,2.64,0.28,2.92,7.04,DELETE FROM all_energy_statistics WHERE year = 1997;,0.97,0.17,1.14,4.91
DELETE FROM all_energy_statistics WHERE year = 1997;,1.87,0.13,2,4.64,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.24,0.1,1.34,6.08,DELETE FROM all_energy_statistics WHERE year = 1997;,2.15,0.26,2.42,6.87,DELETE FROM all_energy_statistics WHERE year = 1997;,1.48,0.15,1.63,4.53
DELETE FROM all_energy_statistics WHERE year = 1997;,1.25,0.13,1.38,4.77,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.1,0.08,1.17,4.98,DELETE FROM all_energy_statistics WHERE year = 1997;,2.29,0.27,2.56,6.91,DELETE FROM all_energy_statistics WHERE year = 1997;,1.06,0.16,1.22,4.84
DELETE FROM all_energy_statistics WHERE year = 1997;,1.22,0.15,1.37,5.09,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.25,0.08,1.34,4.95,DELETE FROM all_energy_statistics WHERE year = 1997;,1.82,0.28,2.11,7.21,DELETE FROM all_energy_statistics WHERE year = 1997;,1.38,0.24,1.62,7.13
DELETE FROM all_energy_statistics WHERE year = 1997;,1.44,0.14,1.58,5.43,"db.all_energy_statistics.deleteOne({""year"": 1997})",2.38,0.09,2.47,5.46,DELETE FROM all_energy_statistics WHERE year = 1997;,1.73,0.28,2.02,7.32,DELETE FROM all_energy_statistics WHERE year = 1997;,1.72,0.16,1.88,4.65
DELETE FROM all_energy_statistics WHERE year = 1997;,0.96,0.13,1.1,4.68,"db.all_energy_statistics.deleteOne({""year"": 1997})",1.21,0.09,1.3,5.57,DELETE FROM all_energy_statistics WHERE year = 1997;,2.99,0.27,3.26,6.93,DELETE FROM all_energy_statistics WHERE year = 1997;,1.58,0.15,1.73,4.43
DELETE FROM all_energy_statistics WHERE year = 1997;,0.81,0.14,0.95,5.07,"db.all_energy_statistics.deleteOne({""year"": 1997})",2.23,0.1,2.32,6.1,DELETE FROM all_energy_statistics WHERE year = 1997;,1.51,0.27,1.78,6.87,DELETE FROM all_energy_statistics WHERE year = 1997;,1.25,0.15,1.4,4.51
"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.02,0.15,1.17,5.27,"db.all_energy_statistics.aggregate([{""$lookup"": {""from"": ""all_energy_statistics"",""localField"": ""year"",""foreignField"": ""year"",""as"": ""joined""}}]);",2.89,0.37,3.26,7.77,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",3.23,0.41,3.63,8.32,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.44,0.22,1.66,5.19
"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",0.86,0.15,1.01,5.79,"db.all_energy_statistics.aggregate([{""$lookup"": {""from"": ""all_energy_statistics"",""localField"": ""year"",""foreignField"": ""year"",""as"": ""joined""}}]);",2.39,0.37,2.76,7.66,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",2.99,0.41,3.4,8.25,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.03,0.21,1.23,4.89
"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.29,0.14,1.43,5.35,"db.all_energy_statistics.aggregate([{""$lookup"": {""from"": ""all_energy_statistics"",""localField"": ""year"",""foreignField"": ""year"",""as"": ""joined""}}]);",1.82,0.33,2.15,7.25,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",2.6,0.4,3,8.09,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.11,0.21,1.32,5.02
"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",2.66,0.19,2.84,6.21,"db.all_energy_statistics.aggregate([{""$lookup"": {""from"": ""all_energy_statistics"",""localField"": ""year"",""foreignField"": ""year"",""as"": ""joined""}}]);",1.62,0.35,1.97,7.34,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",2.84,0.42,3.26,8.53,"SELECT a.country_or_area, b.quantity FROM all_energy_statistics AS a LEFT JOIN all_energy_statistics AS b ON a.year = b.year where a.quantity='100' and a.country_or_area='France' and b.country_or_area='France';",1.33,0.2,1.53,5
