Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",3.55,0.42,3.97,13.79,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",4.03,0.43,4.46,14.49,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",2.96,0.41,3.36,14,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3.89,0.4,4.29,13.83
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",4.98,0.43,5.41,13.99,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",3.21,0.42,3.63,13.86,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",3.74,0.43,4.17,14.18,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3,0.42,3.42,13.81
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",3.51,0.24,3.75,14.84,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",4.25,0.25,4.49,15.12,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",4.5,0.22,4.73,15.1,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",4.29,0.22,4.51,14.22
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",3.58,0.22,3.81,13.5,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",3.78,0.22,4,13.4,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",3.22,0.23,3.45,13.72,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",4.18,0.22,4.41,13.57
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",3.76,0.23,3.99,13.79,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",5.32,0.24,5.56,14.14,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",3.89,0.23,4.13,14.01,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3.26,0.23,3.49,14.03
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",4.32,0.24,4.56,14.03,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",4.56,0.24,4.8,14.08,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",3.42,0.24,3.66,14.13,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3.06,0.24,3.31,14.39
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",4.07,0.24,4.3,13.65,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",3.6,0.24,3.84,13.94,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",4.37,0.23,4.6,13.89,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3.29,0.23,3.52,13.75
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",4.07,0.24,4.31,14.03,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",3.97,0.24,4.21,14.26,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",3.57,0.24,3.82,14.68,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",4.32,0.26,4.59,15.53
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",5.06,0.23,5.29,13.79,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",4.79,0.24,5.03,13.87,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",3.8,0.24,4.04,14.32,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",3,0.24,3.24,13.94
"INSERT INTO online_retail(KEY, VALUE) VALUES(""2502"",{""﻿InvoiceNo"": ""8569I"",""StockCode"": ""33572"",""Description"": ""Big Car"",""Quantity"": 3,""InvoiceDate"": ""01-12-2010  08:26:00"",""UnitPrice"": ""234"",""CustomerID"": ""17859"",""Country"": ""United Kingdom""});",2.72,0.23,2.96,13.7,"db.online_retail.insertOne({ ""﻿InvoiceNo"": ""8569I"", ""StockCode"": ""33572"" , ""Description"": ""Big Car"", ""Quantity"": 3, ""InvoiceDate"": ""01-12-2010  08:26:00"" , ""UnitPrice"": ""23.4"", ""CustomerID"": ""17859"" , ""Country"": ""United Kingdom""})",2.92,0.23,3.15,13.63,"INSERT INTO online_retail (﻿InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country) VALUES ('8569I','33572','Big Car',3,'01-12-2010  08:26:00',23.4,'17859','United Kingdom');",2.57,0.25,2.82,14.4,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",2.9,0.24,3.14,14.04
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.5,0.24,3.73,13.94,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",5.64,0.31,5.94,16.71,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,5.12,0.32,5.44,17.51,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,5.82,0.26,6.08,15.14
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.14,0.24,3.38,14.11,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",3.79,0.26,4.05,14.9,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.68,0.28,3.96,15.58,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.65,0.26,3.91,14.79
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.17,0.24,3.41,14.16,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",4.3,0.27,4.57,15.39,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.8,0.34,5.13,18.43,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.96,0.26,4.23,15.3
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.05,0.24,4.29,14.2,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",4.27,0.26,4.53,14.88,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.43,0.28,4.71,15.83,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.82,0.25,4.07,14.43
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.88,0.23,4.11,14.05,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",4.11,0.26,4.37,15.21,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.99,0.29,4.28,16.24,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,2.82,0.25,3.07,14.95
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,2.79,0.22,3.01,13.36,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",4.07,0.24,4.31,14.25,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.44,0.27,3.72,15.64,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.42,0.24,4.66,14.44
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.66,0.23,3.89,13.68,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",3.82,0.25,4.07,14.63,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.54,0.27,4.81,15.91,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,5.27,0.24,5.51,14.61
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,2.59,0.22,2.82,13.51,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",3.88,0.24,4.12,14.39,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.68,0.27,3.94,15.46,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.99,0.24,4.23,14.5
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.09,0.22,3.31,13.47,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",3.11,0.24,3.36,14.33,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.03,0.26,4.29,15.13,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.18,0.23,4.41,14.15
UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,3.89,0.23,4.12,14.01,"db.online_retail.updateOne({""﻿InvoiceNo"" :""536396""}, {""$set"": {""Country"":""Australia""} })",4.29,0.25,4.55,14.85,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.63,0.27,4.9,15.64,UPDATE online_retail SET Country = 'Australia' WHERE ﻿InvoiceNo = '536396';,4.58,0.24,4.83,14.54
DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,2.87,0.23,3.1,13.88,"db.online_retail.deleteOne({""﻿InvoiceNo"" :""536396""})",4.47,0.26,4.72,15.39,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,5.19,0.27,5.46,15.73,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,4.6,0.25,4.85,14.82
DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.46,0.22,3.69,13.62,"db.online_retail.deleteOne({""﻿InvoiceNo"" :""536396""})",4.06,0.25,4.31,14.52,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,4.09,0.27,4.35,15.57,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.57,0.24,3.81,14.38
DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.57,0.22,3.79,13.54,"db.online_retail.deleteOne({""﻿InvoiceNo"" :""536396""})",6.26,0.25,6.51,14.9,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.8,0.27,4.07,15.76,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,4.21,0.24,4.44,14.21
DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.51,0.23,3.74,14,"db.online_retail.deleteOne({""﻿InvoiceNo"" :""536396""})",5.53,0.26,5.79,15.35,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.76,0.29,4.05,16.34,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.89,0.25,4.14,14.97
DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,3.62,0.23,3.85,13.79,"db.online_retail.deleteOne({""﻿InvoiceNo"" :""536396""})",4.57,0.25,4.82,14.92,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,4.19,0.27,4.46,15.62,DELETE FROM online_retail WHERE ﻿InvoiceNo = '536396';,4.73,0.25,4.98,14.75
