Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",3.76,0.39,4.16,12.76,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",4.76,0.38,5.14,12.24,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",2.08,0.11,2.19,6.28,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.42,0.11,1.53,7.03
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",3.5,0.39,3.89,12.66,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.05,0.38,3.43,12.34,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",2,0.11,2.11,6.13,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",2.05,0.11,2.16,7.01
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",3.56,0.39,3.95,12.77,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",5.51,0.38,5.89,12.28,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",2.78,0.11,2.9,6.13,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.59,0.11,1.7,6.97
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",3.37,0.38,3.75,12.53,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.4,0.37,3.77,12.05,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.72,0.11,1.83,6.06,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.75,0.11,1.86,6.96
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",2.97,0.39,3.35,12.57,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.64,0.37,4.01,12.11,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.3,0.11,1.41,5.98,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",2.69,0.11,2.8,7.04
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",4.44,0.39,4.84,12.74,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.36,0.37,3.73,12.07,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.78,0.11,1.89,5.93,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",2.27,0.11,2.38,7
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",3.37,0.38,3.75,12.52,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.33,0.38,3.71,12.24,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.5,0.11,1.61,6.32,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.5,0.11,1.61,7.06
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",2.44,0.38,2.82,12.46,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.23,0.38,3.6,12.18,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.4,0.1,1.5,5.91,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",2.85,0.11,2.96,6.93
"INSERT INTO netflix_userbase(KEY, VALUE) VALUES(""2502"",{""User_ID"": ""2502"",""Subscription_Type"": ""Basic"",""Monthly_Revenue"": 18,""Join_Date"": ""2022-08-31"",""Last_Payment_Date"": ""2023-07-21"",""Country"": ""United States"",""Age"": 33,""Gender"": ""Female"",""Device"": ""Smart TV"",""Plan_Duration"": ""1 Month""});",4.2,0.38,4.58,12.41,"db.netflix_userbase.insertOne({ ""User_ID"": 2501, ""Subscription_Type"": ""Basic"" , ""Monthly_Revenue"": 18, ""Join_Date"": ""2022-08-31"", ""Last_Payment_Date"": ""2023-07-21"" , ""Country"": ""United States"", ""Age"": 33 , ""Gender"": ""Female"" , ""Device"": ""Smart TV"", ""Plan_Duration"": ""1 Month""})",3.97,0.38,4.35,12.34,"INSERT INTO netflix_userbase (User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES (2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON DUPLICATE KEY UPDATE User_ID=2502;",1.21,0.1,1.31,5.85,"INSERT INTO netflix_userbase(User_ID, Subscription_Type, Monthly_Revenue, Join_Date, Last_Payment_Date, Country, Age, Gender, Device, Plan_Duration) VALUES(2501, 'Basic', 18, '2022-08-31', '2023-07-21', 'United States', 33, 'Female', 'Smart TV', '1 Month') ON CONFLICT(User_ID) DO UPDATE SET Subscription_Type=EXCLUDED.Subscription_Type, Monthly_Revenue=EXCLUDED.Monthly_Revenue, Join_Date=EXCLUDED.Join_Date, Last_Payment_Date=EXCLUDED.Last_Payment_Date, Country=EXCLUDED.Country, Age=EXCLUDED.Age, Gender=EXCLUDED.Gender, Device=EXCLUDED.Device, Plan_Duration=EXCLUDED.Plan_Duration",1.68,0.11,1.79,6.9
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,2.88,0.38,3.26,12.45,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.27,0.37,3.65,12.1,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.36,0.1,1.45,5.89,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,2.04,0.11,2.16,7.11
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,4.96,0.38,5.34,12.39,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.95,0.37,4.32,12.18,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.14,0.12,1.26,7.46,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,2,0.11,2.11,6.88
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,3.03,0.38,3.42,12.45,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.39,0.35,3.74,12.29,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.45,0.13,1.57,7.6,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.95,0.11,2.06,6.92
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,4.37,0.39,4.75,12.53,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",4.24,0.35,4.6,12.38,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.34,0.13,1.46,7.53,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.51,0.11,1.63,7.07
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,3.07,0.38,3.45,12.2,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.27,0.35,3.61,12.21,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.35,0.13,1.48,7.65,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,3.5,0.14,3.63,7.94
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,4.57,0.38,4.94,12.29,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.3,0.35,3.65,12.35,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.9,0.13,2.03,7.85,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.93,0.12,2.05,7.3
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,3.54,0.38,3.92,12.38,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",3.32,0.35,3.67,12.35,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.43,0.13,1.55,7.55,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.92,0.12,2.05,7.93
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,3.76,0.37,4.13,12.14,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",4.3,0.32,4.62,10.19,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.29,0.12,1.41,7.46,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.75,0.13,1.88,8.34
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,3.4,0.4,3.8,12.85,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",2.25,0.22,2.46,7.52,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,2.57,0.12,2.69,7.3,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,2.96,0.13,3.09,7.95
UPDATE netflix_userbase SET Age= 30 WHERE User_ID = 1,4.13,0.38,4.51,12.42,"db.netflix_userbase.updateOne({""User_ID"" :1}, {""$set"": {""Age"":30} })",1.58,0.22,1.8,7.6,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.41,0.12,1.53,7.06,UPDATE netflix_userbase SET Age = 30 WHERE User_ID = 1;,1.76,0.12,1.88,7.31
DELETE FROM netflix_userbase WHERE User_ID = 2;,3.39,0.38,3.76,13.19,"db.netflix_userbase.deleteOne({""User_ID"":2})",1.88,0.2,2.08,7.14,DELETE FROM netflix_userbase WHERE User_ID = 2;,2.08,0.12,2.21,7.23,DELETE FROM netflix_userbase WHERE User_ID = 2;,2.17,0.11,2.29,7.1
